Team,C_PTS,PF_PTS,PG_PTS,SF_PTS,SG_PTS,C_REB,PF_REB,PG_REB,SF_REB,SG_REB,C_AST,PF_AST,PG_AST,SF_AST,SG_AST,C_3P,PF_3P,PG_3P,SF_3P,SG_3P
Atlanta Hawks,5,28,18,26,28,1,12,26,11,18,8,22,14,26,16,5,14,24,6,19
Boston Celtics,1,12,5,14,13,13,1,15,10,7,5,6,6,15,11,3,24,16,17,21
Brooklyn Nets,25,14,19,6,6,9,14,29,18,30,2,26,25,10,20,8,4,18,10,7
Charlotte Hornets,6,13,27,24,16,27,3,23,22,3,22,10,12,7,6,20,25,11,20,17
Chicago Bulls,19,3,21,12,30,20,11,21,17,21,23,21,23,18,21,2,1,26,14,28
Cleveland Cavaliers,18,30,1,27,1,30,23,28,12,2,9,24,17,11,9,6,30,5,28,10
Dallas Mavericks,20,24,11,29,25,17,24,11,25,29,19,13,28,14,25,13,16,3,9,16
Denver Nuggets,21,7,22,21,27,12,27,7,6,22,14,9,13,30,26,18,11,22,18,23
Detroit Pistons,7,10,30,9,9,23,17,6,24,10,16,27,1,3,1,4,5,19,11,12
Golden State Warriors,10,23,12,10,3,21,9,5,14,14,11,3,22,19,12,11,19,7,16,6
Houston Rockets,2,4,16,8,21,19,9,2,2,17,4,8,2,23,5,12,11,9,2,4
Indiana Pacers,15,9,23,16,12,14,20,16,7,23,1,18,11,1,17,6,5,29,15,11
Los Angeles Clippers,14,1,14,19,4,16,14,1,4,6,25,24,15,27,13,14,2,15,8,5
Los Angeles Lakers,11,27,2,20,18,11,8,30,9,20,7,7,30,13,24,25,17,2,12,24
Memphis Grizzlies,12,17,28,18,15,22,21,18,16,25,24,4,10,20,28,27,15,28,23,30
Miami Heat,13,6,10,2,14,5,22,14,8,9,3,19,19,12,2,16,8,24,3,25
Milwaukee Bucks,9,18,8,23,10,2,4,20,28,24,13,1,18,22,23,19,28,8,26,8
Minnesota Timberwolves,16,16,6,11,5,7,1,27,13,11,15,2,20,5,8,17,13,1,19,3
New Orleans Pelicans,8,29,24,25,8,8,18,12,3,16,30,12,21,9,15,10,20,14,24,12
New York Knicks,3,22,26,7,2,4,24,18,26,8,6,17,4,8,3,1,23,27,4,1
Oklahoma City Thunder,17,15,15,1,7,14,12,25,19,1,27,15,7,2,10,26,29,10,5,20
Orlando Magic,4,11,7,3,19,25,16,9,23,4,10,5,5,4,4,9,3,4,7,14
Philadelphia 76ers,30,26,4,30,22,18,29,8,29,26,19,29,29,21,27,29,22,12,29,26
Phoenix Suns,28,21,9,13,20,3,5,17,1,5,29,28,8,16,7,28,21,6,22,22
Portland Trail Blazers,24,2,25,4,24,9,7,9,27,15,28,14,3,29,18,22,18,23,1,9
Sacramento Kings,23,25,13,17,17,6,19,3,15,13,17,16,16,17,22,30,26,20,30,18
San Antonio Spurs,27,8,20,28,23,26,6,22,5,19,12,30,27,25,30,15,7,30,27,27
Toronto Raptors,22,5,3,5,29,29,26,13,20,11,18,19,9,6,19,24,9,17,21,2
Utah Jazz,29,19,17,22,26,24,30,4,21,28,26,11,24,24,29,21,27,21,25,15
Washington Wizards,26,20,29,15,11,28,28,24,30,27,21,23,25,28,14,23,10,13,12,29
